NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1998_09_01_a67_seg7_s7;20;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1999_04_17_a135_seg6_s14;9;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_08_13_a164_seg2_s16;25;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object, EXP_coordination;;
NZZ_1999_08_14_a94_seg9_s6;24;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_12_04_a235_seg3_s3;75;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1999_12_04_a239_seg3_s33;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_12_15_a208_seg2_s5;40;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1999_02_03_a134_seg5_s4;3;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_02_05_a63_seg3_s6;34;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1999_02_18_a71_seg3_s5;9;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_02_18_a204_seg3_s1;6;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_02_26_a28_seg4_s2;18;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_01_07_a198_seg6_s11;22;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_01_28_a249_seg4_s9;20;;;;;;;;x;;;;;;;;;;;an;;;EXP-related_object;;
NZZ_1999_07_24_a98_seg6_s4;25;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_06_03_a95_seg3_s7;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_06_09_a113_seg2_s3;37;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_06_14_a99_seg4_s2;3;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_06_21_a43_seg5_s1;8;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object, STM_coordination;;
NZZ_1999_05_04_a72_seg6_s8;25;;;;;;;;x;;;;;;;;;;;an;;;EXP_anim_proxy;;
NZZ_1999_05_07_a24_seg8_s1;51;;;;;;;;x;;;;;;;;;;;an;x;;;;
NZZ_1999_03_13_a242_seg7_s3;4;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_03_24_a106_seg5_s2;49;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_11_06_a183_seg7_s1;4;;;;;x;;;;;;;;;;;;;;über;;;ellipsis, headline;;
NZZ_1999_11_11_a64_seg3_s1;10;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_11_17_a127_seg8_s6;36;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1999_11_20_a223_seg3_s5;28;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_10_30_a117_seg13_s1;11;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_10_09_a210_seg3_s2;7;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_10_12_a126_seg3_s10;24;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_10_16_a229_seg6_s17;16;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_09_30_a28_seg6_s12;2;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_09_07_a78_seg7_s10;15;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1999_09_27_a105_seg3_s11;9;;;;;;;;x;;;;;;;;;;;an;;;metonymic_EXP, pronominal_adverb;;
NZZ_1999_09_27_a183_seg5_s3;17;;;;;;;;;;;;;;;x;;;;;;;;;
