NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1998_10_09_a159_seg5_s8;14;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_10_16_a225_seg9_s2;2;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_09_05_a55_seg7_s1;38;;;;x;;;;;;;;;;;;;;propositional;;;;;;wollen
NZZ_1998_09_09_a26_seg7_s27;16;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_09_15_a49_seg2_s5;3;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1999_04_14_a198_seg8_s6;54;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_04_24_a31_seg2_s21;4;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_08_14_a47_seg7_s3;45;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1999_08_14_a182_seg4_s2;12;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1999_08_14_a227_seg9_s32;11;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_08_16_a107_seg6_s16;41;;;;x;;;;;;;;;;;;;;inanim;;;;;;wollen
NZZ_1999_08_19_a149_seg3_s16;26;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_08_20_a169_seg6_s3;34;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_08_28_a235_seg4_s4;4;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_12_11_a189_seg1_s11;18;;;;x;;;;;;;;;;;;;;inanim;;x;;PA+A;;vermögen
NZZ_1999_12_21_a154_seg3_s10;6;;;x;;;;;;;;;;;;;;;propositional;;;;;;generic EXP
NZZ_1999_02_13_a26_seg6_s8;3;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1999_02_23_a168_seg3_s5;14;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_02_25_a75_seg4_s3;17;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1999_01_07_a132_seg9_s3;14;;;;x;;;;;;;;;;;;;;anim;als;;;;alternative psych-Lesart?;
